자치구,기초지자체명,현지인방문자수,자치구내 현지인방문자 비율,외지인방문자수,자치구내 외지인방문자 비율,외국인 방문자수
강남구,개포1동,9064290.0,3.0,2773550.0,0.9,36791.0
강남구,개포2동,8580264.0,2.8,2174490.0,0.7,56041.0
강남구,개포3동,5165856.0,1.7,2512783.0,0.8,40846.0
강남구,개포4동,4816592.0,1.6,3304931.0,1.1,47227.0
강남구,논현1동,10709990.0,3.5,15339328.0,5.1,1136443.0
강남구,논현2동,14847984.0,4.9,14653866.0,4.9,762114.0
강남구,대치1동,16222318.0,5.4,7209195.0,2.4,45336.0
강남구,대치2동,21190631.0,7.0,17218390.0,5.7,898362.0
강남구,대치4동,20795624.0,6.9,14591262.0,4.9,295368.0
강남구,도곡1동,19738397.0,6.5,15108726.0,5.0,189181.0
강남구,도곡2동,10338713.0,3.4,5809783.0,1.9,119084.0
강남구,삼성1동,19666616.0,6.5,27783336.0,9.3,2777019.0
강남구,삼성2동,16303304.0,5.4,12766652.0,4.3,546960.0
강남구,세곡동,7349010.0,2.4,4851556.0,1.6,54296.0
강남구,수서동,8544826.0,2.8,10842388.0,3.6,78628.0
강남구,신사동,12374316.0,4.1,19142574.0,6.4,1549847.0
강남구,압구정동,15691134.0,5.2,23145392.0,7.7,1755516.0
강남구,역삼1동,36370719.0,12.0,59239478.0,19.8,2336718.0
강남구,역삼2동,19167456.0,6.3,14736092.0,4.9,404262.0
강남구,일원1동,4012760.0,1.3,2537538.0,0.8,28858.0
강남구,일원본동,6015597.0,2.0,5349099.0,1.8,54777.0
강남구,청담동,14936124.0,4.9,18436996.0,6.2,1072302.0
강동구,강일동,5047742.0,3.3,2582486.0,3.7,24935.0
강동구,고덕1동,3990595.0,2.6,1350419.0,1.9,20583.0
강동구,고덕2동,4174751.0,2.7,2513119.0,3.6,43007.0
강동구,길동,21893294.0,14.4,11500584.0,16.3,74925.0
강동구,둔촌1동,5586466.0,3.7,2944638.0,4.2,54098.0
강동구,둔촌2동,7831173.0,5.1,3084312.0,4.4,32280.0
강동구,명일1동,7891062.0,5.2,2024967.0,2.9,29745.0
강동구,명일2동,4806476.0,3.2,1406506.0,2.0,26508.0
강동구,상일1동,9483201.0,6.2,3812498.0,5.4,41429.0
강동구,상일2동,2446353.0,1.6,1090926.0,1.5,49992.0
강동구,성내1동,8325614.0,5.5,4782872.0,6.8,62905.0
강동구,성내2동,7722085.0,5.1,4337274.0,6.2,83502.0
강동구,성내3동,13472350.0,8.9,8054336.0,11.4,73238.0
강동구,암사1동,12223992.0,8.0,4780710.0,6.8,20997.0
강동구,암사2동,5070544.0,3.3,2288482.0,3.3,24328.0
강동구,암사3동,4998224.0,3.3,1832408.0,2.6,20306.0
강동구,천호1동,8783768.0,5.8,2654642.0,3.8,57064.0
강동구,천호2동,10813226.0,7.1,5658646.0,8.0,102578.0
강동구,천호3동,7578620.0,5.0,3704368.0,5.3,47368.0
강북구,미아동,5333178.0,7.3,2626610.0,6.1,56807.0
강북구,번1동,7162351.0,9.8,5893888.0,13.7,58364.0
강북구,번2동,3688146.0,5.1,1377512.0,3.2,10902.0
강북구,번3동,4203042.0,5.8,2059348.0,4.8,12253.0
강북구,삼각산동,2705210.0,3.7,1091710.0,2.5,18909.0
강북구,삼양동,3339791.0,4.6,1106458.0,2.6,39253.0
강북구,송중동,6037640.0,8.3,4357336.0,10.1,63586.0
강북구,송천동,6003260.0,8.2,4415873.0,10.2,41969.0
강북구,수유1동,3584854.0,4.9,1510866.0,3.5,36523.0
강북구,수유2동,7157664.0,9.8,2869758.0,6.7,46275.0
강북구,수유3동,11127764.0,15.3,8169042.0,18.9,92014.0
강북구,우이동,5945594.0,8.2,5220694.0,12.1,72171.0
강북구,인수동,6549389.0,9.0,2411462.0,5.6,35199.0
강서구,가양1동,16801158.0,11.1,11538835.0,9.6,484616.0
강서구,가양2동,4780534.0,3.1,2149710.0,1.8,57550.0
강서구,가양3동,3568162.0,2.3,1527096.0,1.3,56491.0
강서구,공항동,10735872.0,7.1,20814283.0,17.4,985967.0
강서구,등촌1동,6082510.0,4.0,3135388.0,2.6,82219.0
강서구,등촌2동,2291552.0,1.5,1695953.0,1.4,16653.0
강서구,등촌3동,12313752.0,8.1,11634654.0,9.7,91499.0
강서구,발산1동,12868485.0,8.5,7675658.0,6.4,294661.0
강서구,방화1동,9145160.0,6.0,3649065.0,3.1,195690.0
강서구,방화2동,9371887.0,6.2,14376660.0,12.0,2602508.0
강서구,방화3동,5054840.0,3.3,1716001.0,1.4,84198.0
강서구,염창동,6683299.0,4.4,4928847.0,4.1,298036.0
강서구,우장산동,6590661.0,4.3,1927975.0,1.6,53267.0
강서구,화곡1동,9310364.0,6.1,5412274.0,4.5,99395.0
강서구,화곡2동,1812094.0,1.2,1014514.0,0.8,23549.0
강서구,화곡3동,5103917.0,3.4,2419788.0,2.0,29265.0
강서구,화곡4동,1850982.0,1.2,1157282.0,1.0,26654.0
강서구,화곡6동,6186072.0,4.1,3204512.0,2.7,49516.0
강서구,화곡8동,15008332.0,9.9,17018544.0,14.2,38573.0
강서구,화곡본동,6474444.0,4.3,2607938.0,2.2,33291.0
관악구,낙성대동,10164872.0,8.3,6226678.0,7.7,134598.0
관악구,난곡동,4567409.0,3.7,1255534.0,1.5,15152.0
관악구,난향동,1736144.0,1.4,469906.0,0.6,6288.0
관악구,남현동,5303910.0,4.3,9005062.0,11.1,62034.0
관악구,대학동,11892979.0,9.7,6384984.0,7.9,177738.0
관악구,미성동,6357214.0,5.2,3405682.0,4.2,31584.0
관악구,보라매동,2249639.0,1.8,1697059.0,2.1,53493.0
관악구,삼성동,4304590.0,3.5,1283611.0,1.6,18127.0
관악구,서림동,3073070.0,2.5,1029469.0,1.3,65339.0
관악구,서원동,9429091.0,7.7,5843446.0,7.2,103523.0
관악구,성현동,3919038.0,3.2,1106007.0,1.4,37481.0
관악구,신림동,7982163.0,6.5,5472842.0,6.7,146531.0
관악구,신사동,4432060.0,3.6,3057064.0,3.8,92007.0
관악구,신원동,3771002.0,3.1,1441958.0,1.8,44197.0
관악구,은천동,5836904.0,4.8,2599412.0,3.2,44526.0
관악구,인헌동,6441337.0,5.3,2855296.0,3.5,37158.0
관악구,조원동,6908240.0,5.7,16804106.0,20.7,115939.0
관악구,중앙동,3803758.0,3.1,1615540.0,2.0,23110.0
관악구,청룡동,13832091.0,11.3,7062506.0,8.7,98622.0
관악구,청림동,1105360.0,0.9,466532.0,0.6,21016.0
관악구,행운동,4898432.0,4.0,2225878.0,2.7,84738.0
광진구,광장동,9620555.0,8.5,6560659.0,6.8,251887.0
광진구,구의1동,6005699.0,5.3,3239918.0,3.4,74066.0
광진구,구의2동,6373297.0,5.6,3794066.0,3.9,41637.0
광진구,구의3동,9243542.0,8.1,9733052.0,10.1,155933.0
광진구,군자동,7050284.0,6.2,7495019.0,7.8,168964.0
광진구,능동,8177323.0,7.2,7599326.0,7.9,119442.0
광진구,자양1동,6061496.0,5.3,3573612.0,3.7,85061.0
광진구,자양2동,7120183.0,6.3,3503640.0,3.6,85109.0
광진구,자양3동,11893452.0,10.5,10220458.0,10.6,201544.0
광진구,자양4동,8520407.0,7.5,12298818.0,12.8,299843.0
광진구,중곡1동,4899419.0,4.3,3594062.0,3.7,36477.0
광진구,중곡2동,4361850.0,3.8,2246360.0,2.3,48402.0
광진구,중곡3동,3850192.0,3.4,2103216.0,2.2,20616.0
광진구,중곡4동,9496333.0,8.4,4693168.0,4.9,35319.0
광진구,화양동,10994966.0,9.7,15713212.0,16.3,449529.0
구로구,가리봉동,1124498.0,1.2,1298234.0,1.6,126313.0
구로구,개봉1동,8157926.0,8.5,3239688.0,4.1,89095.0
구로구,개봉2동,4795704.0,5.0,2006896.0,2.5,49170.0
구로구,개봉3동,3528693.0,3.7,3408027.0,4.3,20093.0
구로구,고척1동,6713434.0,7.0,4876826.0,6.1,115884.0
구로구,고척2동,3102362.0,3.2,1240470.0,1.6,34794.0
구로구,구로1동,3196263.0,3.3,1667600.0,2.1,41402.0
구로구,구로2동,7651651.0,8.0,5859847.0,7.4,167194.0
구로구,구로3동,10065514.0,10.5,14406354.0,18.1,267010.0
구로구,구로4동,6038336.0,6.3,3592708.0,4.5,148231.0
구로구,구로5동,12068546.0,12.6,12609454.0,15.8,183119.0
구로구,수궁동,2970208.0,3.1,1455702.0,1.8,41417.0
구로구,신도림동,10439450.0,10.9,15638014.0,19.6,155577.0
구로구,오류1동,6887839.0,7.2,3126312.0,3.9,267260.0
구로구,오류2동,7614467.0,7.9,4074903.0,5.1,57151.0
구로구,항동,1717646.0,1.8,1221780.0,1.5,30750.0
금천구,가산동,6628321.0,15.2,13431838.0,40.1,353514.0
금천구,독산1동,8457386.0,19.4,5956965.0,17.8,218326.0
금천구,독산2동,2122113.0,4.9,955504.0,2.9,63477.0
금천구,독산3동,2965792.0,6.8,2370536.0,7.1,69605.0
금천구,독산4동,4022694.0,9.2,1736868.0,5.2,48420.0
금천구,시흥1동,8724818.0,20.0,5011304.0,15.0,63808.0
금천구,시흥2동,3228452.0,7.4,932155.0,2.8,16231.0
금천구,시흥3동,1483864.0,3.4,1099794.0,3.3,19055.0
금천구,시흥4동,3522449.0,8.1,1098422.0,3.3,19259.0
금천구,시흥5동,2551122.0,5.8,874142.0,2.6,20152.0
노원구,공릉1동,14257152.0,8.5,8005627.0,10.3,67769.0
노원구,공릉2동,12596272.0,7.5,7754943.0,10.0,72635.0
노원구,상계10동,3500304.0,2.1,2294022.0,3.0,39173.0
노원구,상계1동,7924812.0,4.7,5002452.0,6.4,39759.0
노원구,상계2동,15436911.0,9.2,8420402.0,10.8,47802.0
노원구,상계3.4동,6782349.0,4.1,2516342.0,3.2,20367.0
노원구,상계5동,4754586.0,2.8,1300792.0,1.7,13548.0
노원구,상계6.7동,21768201.0,13.0,13833306.0,17.8,76292.0
노원구,상계8동,5817200.0,3.5,1588072.0,2.0,12799.0
노원구,상계9동,5084037.0,3.0,1008203.0,1.3,11716.0
노원구,월계1동,5719819.0,3.4,4532500.0,5.8,49057.0
노원구,월계2동,4392381.0,2.6,2042366.0,2.6,17571.0
노원구,월계3동,7391458.0,4.4,4436845.0,5.7,27493.0
노원구,중계1동,8463812.0,5.1,1626107.0,2.1,13503.0
노원구,중계2.3동,11819588.0,7.1,3550995.0,4.6,29037.0
노원구,중계4동,7125678.0,4.3,1810655.0,2.3,14690.0
노원구,중계본동,7589085.0,4.5,1646288.0,2.1,11519.0
노원구,하계1동,12393843.0,7.4,4985536.0,6.4,43335.0
노원구,하계2동,4104012.0,2.5,1347196.0,1.7,10762.0
도봉구,도봉1동,5485770.0,7.7,3884430.0,9.5,19991.0
도봉구,도봉2동,5603314.0,7.9,5137150.0,12.6,25946.0
도봉구,방학1동,6288222.0,8.8,2841006.0,7.0,40469.0
도봉구,방학2동,3535378.0,5.0,1031152.0,2.5,12152.0
도봉구,방학3동,4610025.0,6.5,1732188.0,4.3,12868.0
도봉구,쌍문1동,3354533.0,4.7,2176108.0,5.3,27078.0
도봉구,쌍문2동,5254666.0,7.4,1846320.0,4.5,20107.0
도봉구,쌍문3동,2973058.0,4.2,1398964.0,3.4,16798.0
도봉구,쌍문4동,4437332.0,6.2,1067332.0,2.6,14844.0
도봉구,창1동,4550658.0,6.4,1950512.0,4.8,32918.0
도봉구,창2동,7666064.0,10.8,5751718.0,14.1,14621.0
도봉구,창3동,2580788.0,3.6,1198323.0,2.9,8701.0
도봉구,창4동,9307162.0,13.1,8481249.0,20.8,29111.0
도봉구,창5동,5612778.0,7.9,2190850.0,5.4,29721.0
동대문구,답십리1동,6757300.0,7.4,3779440.0,5.3,57247.0
동대문구,답십리2동,6576840.0,7.2,2664123.0,3.8,68724.0
동대문구,용신동,9419665.0,10.4,11583674.0,16.400000000000002,428599.0
동대문구,이문1동,7178252.0,7.9,5976484.0,8.4,184601.0
동대문구,이문2동,2497159.0,2.7,1818761.0,2.6,42179.0
동대문구,장안1동,9390458.0,10.3,7304230.0,10.3,227548.0
동대문구,장안2동,11322280.0,12.4,5950959.0,8.4,63329.0
동대문구,전농1동,8973699.0,9.9,7608027.0,10.8,212883.0
동대문구,전농2동,4016544.0,4.4,1492071.0,2.1,36893.0
동대문구,제기동,7304682.0,8.0,8000559.0,11.3,270447.0
동대문구,청량리동,4307664.0,4.7,3929418.0,5.6,94097.0
동대문구,회기동,4269153.0,4.7,4468317.0,6.3,188533.0
동대문구,휘경1동,4151455.0,4.6,2688612.0,3.8,119025.0
동대문구,휘경2동,4862354.0,5.3,3505012.0,5.0,66073.0
동작구,노량진1동,10178612.0,12.1,10877328.0,14.1,206605.0
동작구,노량진2동,4379448.0,5.2,6564467.0,8.5,123350.0
동작구,대방동,10286146.0,12.2,6941868.0,9.0,92311.0
동작구,사당1동,5150162.0,6.1,9530248.0,12.4,76403.0
동작구,사당2동,7920832.0,9.4,11596414.0,15.0,185645.0
동작구,사당3동,3795236.0,4.5,1229109.0,1.6,23937.0
동작구,사당4동,2960769.0,3.5,1335408.0,1.7,17153.0
동작구,사당5동,3073588.0,3.6,1313022.0,1.7,18874.0
동작구,상도1동,6930592.0,8.2,3911250.0,5.1,139688.0
동작구,상도2동,5461323.0,6.5,2222818.0,2.9,37362.0
동작구,상도3동,3981274.0,4.7,1536756.0,2.0,24277.0
동작구,상도4동,3804812.0,4.5,1484094.0,1.9,25702.0
동작구,신대방1동,2370588.0,2.8,4802004.0,6.2,110306.0
동작구,신대방2동,5230505.0,6.2,7097916.0,9.2,59226.0
동작구,흑석동,8911294.0,10.6,6610432.0,8.6,157589.0
마포구,공덕동,7934958.0,6.1,6931382.0,4.4,446514.0
마포구,대흥동,8523676.0,6.6,8071136.0,5.2,518683.0
마포구,도화동,4997738.0,3.9,6154841.0,3.9,853068.0
마포구,망원1동,7528206.0,5.8,6187380.0,4.0,390237.0
마포구,망원2동,5270716.0,4.1,3885290.0,2.5,154187.0
마포구,상암동,11485576.0,8.9,15256584.0,9.7,667971.0
마포구,서강동,7956798.0,6.2,10380128.0,6.6,634321.0
마포구,서교동,22211200.0,17.2,51702315.0,33.0,6462408.0
마포구,성산1동,5772200.0,4.5,3350711.0,2.1,341278.0
마포구,성산2동,8440436.0,6.5,7865823.0,5.0,132297.0
마포구,신수동,5428286.0,4.2,2720204.0,1.7,201813.0
마포구,아현동,7223216.0,5.6,4883067.0,3.1,406165.0
마포구,연남동,4999211.0,3.9,8737950.0,5.6,1123053.0
마포구,염리동,8609002.0,6.7,5372532.0,3.4,113617.0
